internal_id,title,brand,url,image,actual_price,in_sale,in_stock,updated_at
13865,"Assortiment De Napolitains",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-assorted-napolitains-12101-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-assorted-napolitains-12101-en-061009fe82828911a6bb05932e91c29192a67699_12101_1-1.jpg,1.469,0,1,"2024-06-21 05:42:50"
85661,"Dark Berry Almond",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100696142-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100696142-us-f44ca12cee027a41b976776b6c24a155086685b6_7610400087551-1.jpg,379,0,1,"2024-06-21 05:42:50"
90505,"Dark Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100643259-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100643259-us-396a7dc09cd1824b1ef1f120e9cb57c135b54def_7610400073875-1.jpg,379,0,1,"2024-06-21 05:42:50"
91799,"Tablet Milk Raisin Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100078741-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100078741-us-405708ddc70cf79c6a1744ca7eec342ee8405332_7610400073738_1-1.jpg,379,0,1,"2024-06-21 05:42:50"
107265,"Lindor Tube Dark Selection 387g",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-dark-selection-387g-100750360-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-dark-selection-387g-100750360-us-a2851371442dc237140e44502356977a3f34fa1b_7610400089951-1.jpg,599,1,1,"2024-06-21 05:42:50"
123165,"Lindor Mini Tube Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-mini-tube-milk-175g-100805464-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-mini-tube-milk-175g-100805464-us-7de4eda1cef3b076389dfcfa1683bd7dd8cd9627_7610400089777-1.jpg,299,0,1,"2024-06-21 05:42:50"
123166,"Lindor Mini Tube Assorted",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-mini-tube-assorted-175g-100805465-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-mini-tube-assorted-175g-100805465-us-77b5b6c86ec66c7dae29a45ccc7c5663661db613_7610400089753-1.jpg,299,0,1,"2024-06-21 05:42:50"
126597,"Mini Pralines Box Gold",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-mini-pralines-box-gold-155g-100807945-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-mini-pralines-box-gold-155g-100807945-us-b0facf7ddbed37ad09050e9e0c7f1937c6e1e2e2_4000539370274-1.jpg,569,0,1,"2024-06-21 05:42:50"
158970,"Lindor Bag Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/co374-lindor-bag-milk-100g-101038884-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-co374-lindor-bag-milk-100g-101038884-us-7f8e9d41669d96870fb9181755ecbedd7caa7269_7610400094801-1.jpg,179,0,1,"2024-06-21 05:42:50"
158971,"Nuxor Ballotin Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-nuxor-ballotin-milk-165g-101062709-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-nuxor-ballotin-milk-165g-101062709-us-c772f908aabe0388ebfffe407f473e196b0060a4_8013108006463-1.jpg,359,0,1,"2024-06-21 05:42:50"
158972,"Nuxor Ballotin Assorted",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-nuxor-ballotin-assorted-165g-101062710-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-nuxor-ballotin-assorted-165g-101062710-us-67b3122943204a6114da15a9723c81d3d1b4862d_8013108006470-1.jpg,359,0,1,"2024-06-21 05:42:50"
169874,"Maxi Plaisir Milk Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-maxi-plaisir-milk-hazelnut-100921119-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-maxi-plaisir-milk-hazelnut-100921119-us-c938c00a7f24012eb1bd8046fe220a2c20ed10d6_7610400089722_2-1.jpg,179,0,1,"2024-06-21 05:42:50"
169875,"Maxi Plaisir Dark Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-maxi-plaisir-dark-hazelnut-100921120-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-maxi-plaisir-dark-hazelnut-100921120-us-08464a566bc176b848149038884888ab14fb1575_7610400089739_2-1.jpg,179,0,1,"2024-06-21 05:42:50"
176075,"Thins Dark",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-thins-dark-101183180-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-thins-dark-101183180-us-1c191f4df48cf16b56a7b9af168e3a46b2aa65c5_7610400095891_2-1.jpg,319,0,1,"2024-06-21 05:42:50"
176076,"Thins Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-thins-milk-101183201-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-thins-milk-101183201-us-47c8d06a80cb303eaa113526dd1a20ebfb0417ed_7610400095907_2-1.jpg,319,0,1,"2024-06-21 05:42:50"
7324,"Assorted Napolitains Carrier Box",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-assorted-napolitains-21766-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-assorted-napolitains-21766-en-8eaed09beb2eb56e04d3f89f41a8525d09e07120_18-1.jpg,639,1,1,"2024-06-22 06:12:23"
7394,Milk,Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-milk-chocolate-bar-37083-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-milk-chocolate-bar-37083-en-b33137a6100bc56303d027b9da4cdbb88b3ffc4f_37083_1-1.jpg,379,0,1,"2024-06-22 06:12:23"
7395,"Milk Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-hazelnut-chocolate-bar-37084-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-hazelnut-chocolate-bar-37084-en-86f04dc4bb6cf2d8d580b9ba998d52bd19222d55_37084_1-1.jpg,379,0,1,"2024-06-22 06:12:23"
7396,"Tablette De Chocolat Noir",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-dark-chocolate-bar-37085-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-dark-chocolate-bar-37085-en-7b62929c54d2e22c06159abbdf59f2c3819fa272_492-1.jpg,379,0,1,"2024-06-22 06:12:23"
7534,"Lindor Tube Assorted",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-assorted-lindor-tube-61581-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-assorted-lindor-tube-61581-en-e7a7f8fdd81b39987d3231abef24c43e133be828_61581_1-1.jpg,599,1,1,"2024-06-22 06:12:23"
7859,"Lindor Tube Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindor-tube-milk-100043380-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindor-tube-milk-100043380-en-efccd578949e872056540b1acc852ec6d45f05ed_100043380_1-1.jpg,599,1,1,"2024-06-22 06:12:23"
13865,"Assortiment De Napolitains",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-assorted-napolitains-12101-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-assorted-napolitains-12101-en-061009fe82828911a6bb05932e91c29192a67699_12101_1-1.jpg,1.469,0,1,"2024-06-22 06:12:23"
85661,"Dark Berry Almond",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100696142-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100696142-us-f44ca12cee027a41b976776b6c24a155086685b6_7610400087551-1.jpg,379,0,1,"2024-06-22 06:12:23"
90505,"Dark Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100643259-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100643259-us-396a7dc09cd1824b1ef1f120e9cb57c135b54def_7610400073875-1.jpg,379,0,1,"2024-06-22 06:12:23"
91799,"Tablet Milk Raisin Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100078741-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100078741-us-405708ddc70cf79c6a1744ca7eec342ee8405332_7610400073738_1-1.jpg,379,0,1,"2024-06-22 06:12:23"
107265,"Lindor Tube Dark Selection 387g",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-dark-selection-387g-100750360-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-dark-selection-387g-100750360-us-a2851371442dc237140e44502356977a3f34fa1b_7610400089951-1.jpg,599,1,1,"2024-06-22 06:12:23"
123165,"Lindor Mini Tube Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-mini-tube-milk-175g-100805464-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-mini-tube-milk-175g-100805464-us-7de4eda1cef3b076389dfcfa1683bd7dd8cd9627_7610400089777-1.jpg,299,0,1,"2024-06-22 06:12:23"
123166,"Lindor Mini Tube Assorted",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-mini-tube-assorted-175g-100805465-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-mini-tube-assorted-175g-100805465-us-77b5b6c86ec66c7dae29a45ccc7c5663661db613_7610400089753-1.jpg,299,0,1,"2024-06-22 06:12:23"
126597,"Mini Pralines Box Gold",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-mini-pralines-box-gold-155g-100807945-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-mini-pralines-box-gold-155g-100807945-us-b0facf7ddbed37ad09050e9e0c7f1937c6e1e2e2_4000539370274-1.jpg,569,0,1,"2024-06-22 06:12:23"
158970,"Lindor Bag Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/co374-lindor-bag-milk-100g-101038884-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-co374-lindor-bag-milk-100g-101038884-us-7f8e9d41669d96870fb9181755ecbedd7caa7269_7610400094801-1.jpg,179,0,1,"2024-06-22 06:12:23"
158971,"Nuxor Ballotin Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-nuxor-ballotin-milk-165g-101062709-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-nuxor-ballotin-milk-165g-101062709-us-c772f908aabe0388ebfffe407f473e196b0060a4_8013108006463-1.jpg,359,0,1,"2024-06-22 06:12:23"
158972,"Nuxor Ballotin Assorted",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-nuxor-ballotin-assorted-165g-101062710-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-nuxor-ballotin-assorted-165g-101062710-us-67b3122943204a6114da15a9723c81d3d1b4862d_8013108006470-1.jpg,359,0,1,"2024-06-22 06:12:23"
169874,"Maxi Plaisir Milk Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-maxi-plaisir-milk-hazelnut-100921119-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-maxi-plaisir-milk-hazelnut-100921119-us-c938c00a7f24012eb1bd8046fe220a2c20ed10d6_7610400089722_2-1.jpg,179,0,1,"2024-06-22 06:12:23"
169875,"Maxi Plaisir Dark Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-maxi-plaisir-dark-hazelnut-100921120-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-maxi-plaisir-dark-hazelnut-100921120-us-08464a566bc176b848149038884888ab14fb1575_7610400089739_2-1.jpg,179,0,1,"2024-06-22 06:12:23"
176075,"Thins Dark",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-thins-dark-101183180-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-thins-dark-101183180-us-1c191f4df48cf16b56a7b9af168e3a46b2aa65c5_7610400095891_2-1.jpg,319,0,1,"2024-06-22 06:12:23"
176076,"Thins Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-thins-milk-101183201-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-thins-milk-101183201-us-47c8d06a80cb303eaa113526dd1a20ebfb0417ed_7610400095907_2-1.jpg,319,0,1,"2024-06-22 06:12:23"
7324,"Lindt Assorted Napolitains Carrier Box",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-assorted-napolitains-21766-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-assorted-napolitains-21766-en-8eaed09beb2eb56e04d3f89f41a8525d09e07120_18-1.jpg,639,1,1,"2024-06-23 06:14:36"
7394,"Lindt Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-milk-chocolate-bar-37083-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-milk-chocolate-bar-37083-en-b33137a6100bc56303d027b9da4cdbb88b3ffc4f_37083_1-1.jpg,379,0,1,"2024-06-23 06:14:36"
7395,"Lindt Milk Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-hazelnut-chocolate-bar-37084-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-hazelnut-chocolate-bar-37084-en-86f04dc4bb6cf2d8d580b9ba998d52bd19222d55_37084_1-1.jpg,379,0,1,"2024-06-23 06:14:36"
7396,"Lindt Tablette De Chocolat Noir",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-dark-chocolate-bar-37085-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-dark-chocolate-bar-37085-en-7b62929c54d2e22c06159abbdf59f2c3819fa272_492-1.jpg,379,0,1,"2024-06-23 06:14:36"
7534,"Lindt Lindor Tube Assorted",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-assorted-lindor-tube-61581-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-assorted-lindor-tube-61581-en-e7a7f8fdd81b39987d3231abef24c43e133be828_61581_1-1.jpg,599,1,1,"2024-06-23 06:14:36"
7859,"Lindt Lindor Tube Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindor-tube-milk-100043380-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindor-tube-milk-100043380-en-efccd578949e872056540b1acc852ec6d45f05ed_100043380_1-1.jpg,599,1,1,"2024-06-23 06:14:36"
13865,"Lindt Assortiment De Napolitains",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-assorted-napolitains-12101-en.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-assorted-napolitains-12101-en-061009fe82828911a6bb05932e91c29192a67699_12101_1-1.jpg,1.469,0,1,"2024-06-23 06:14:36"
85661,"Lindt Dark Berry Almond",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100696142-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100696142-us-f44ca12cee027a41b976776b6c24a155086685b6_7610400087551-1.jpg,379,0,1,"2024-06-23 06:14:36"
90505,"Lindt Dark Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100643259-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100643259-us-396a7dc09cd1824b1ef1f120e9cb57c135b54def_7610400073875-1.jpg,379,0,1,"2024-06-23 06:14:36"
91799,"Lindt Tablet Milk Raisin Hazelnut",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-100078741-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-100078741-us-405708ddc70cf79c6a1744ca7eec342ee8405332_7610400073738_1-1.jpg,379,0,1,"2024-06-23 06:14:36"
107265,"Lindt Lindor Tube Dark Selection 387g",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-dark-selection-387g-100750360-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-dark-selection-387g-100750360-us-a2851371442dc237140e44502356977a3f34fa1b_7610400089951-1.jpg,599,1,1,"2024-06-23 06:14:36"
123165,"Lindt Lindor Mini Tube Milk",Lindt,https://www.aeliadutyfree.cz/prague/en/lindt-lindt-lindor-mini-tube-milk-175g-100805464-us.html,https://www.aeliadutyfree.cz/media/image/250x/aelia-duty-free-lindt-lindt-lindt-lindor-mini-tube-milk-175g-100805464-us-7de4eda1cef3b076389dfcfa1683bd7dd8cd9627_7610400089777-1.jpg,299,0,1,"2024-06-23 06:14:36"
